HIP,HD,ra (deg),dec (deg),V mag ,Mv =V + 5log (parallax in mas) -10,parallax in mas,std error on parallax,relative precision of distance,total proper motion (mas/yr),pm in ra (mas/yr),pm in dec (mas/yr),transverse velocity (km/s),in CNS3,Name
32349,48915,101.289,-16.713,-1.44,1.45,379.21,1.58,0.004,1339.42,-546.01,-1223.08,16.74,*,alpha_CMa (Sirius)
30438,45348,95.988,-52.696,-0.62,-5.53,10.43,0.53,0.051,30.98,19.99,23.67,14.08,,alpha_Car (Canopus)
69673,124897,213.918,19.187,-0.05,-0.31,88.85,0.74,0.008,2278.87,-1093.45,-1999.4,121.59,*,alpha_Boo (Arcturus)
71683,128620,219.92,-60.835,-0.01,4.34,742.12,1.4,0.002,3709.62,-3678.19,481.84,23.7,*,alpha1_Cen (Rigel Kent)
91262,172167,279.234,38.783,0.03,0.58,128.93,0.55,0.004,350.77,201.02,287.46,12.9,*,alpha_Lyr (Vega)
24608,34029,79.172,45.999,0.08,-0.48,77.29,0.89,0.012,433.75,75.52,-427.13,26.6,*,alpha_Aur (Capella)
24436,34085,78.634,-8.202,0.18,-6.69,4.22,0.81,0.192,1.95,1.87,-0.56,2.19,,beta_Ori (Rigel)
37279,61421,114.827,5.228,0.4,2.68,285.93,0.88,0.003,1258.5,-716.57,-1034.58,20.86,*,alpha_CMi (Procyon)
27989,39801,88.793,7.407,0.45,-5.14,7.63,1.64,0.215,29.41,27.33,10.86,18.27,,alpha_Ori (Betelgeuse)
7588,10144,24.428,-57.237,0.45,-2.77,22.68,0.57,0.025,96.72,88.02,-40.08,20.22,,alpha_Eri (Achernar)
68702,122451,210.956,-60.373,0.61,-5.42,6.21,0.56,0.09,42.21,-33.96,-25.06,32.22,,beta_Cen (Hadar)
97649,187642,297.695,8.867,0.76,2.2,194.44,0.94,0.005,660.92,536.82,385.54,16.11,*,alpha_Aql (Altair)
60718,108248,186.65,-63.099,0.77,-4.19,10.17,0.67,0.066,38.31,-35.37,-14.73,17.86,,alpha1_Cru (Acrux)
21421,29139,68.98,16.51,0.87,-0.63,50.09,0.95,0.019,199.5,62.78,-189.36,18.88,*,alpha_Tau (Aldebaran)
65474,116658,201.298,-11.161,0.98,-3.55,12.44,0.86,0.069,53.04,-42.5,-31.73,20.21,,alpha_Vir (Spica)
80763,148478,247.352,-26.432,1.06,-5.28,5.4,1.68,0.311,25.34,-10.16,-23.21,22.24,,alpha_Sco (Antares)
37826,62509,116.331,28.026,1.16,1.09,96.74,0.87,0.009,627.37,-625.69,-45.95,30.74,*,beta_Gem (Pollux)
113368,216956,344.412,-29.622,1.17,1.74,130.08,0.92,0.007,367.9,329.22,-164.22,13.41,*,alpha_PsA (Fomalhaut)
102098,197345,310.358,45.28,1.25,-8.73,1.01,0.57,0.564,2.2,1.56,1.55,10.32,,alpha_Cyg (Deneb)
62434,111123,191.93,-59.689,1.25,-3.92,9.25,0.61,0.066,49.91,-48.24,-12.82,25.58,,beta_Cru
71681,128621,219.914,-60.839,1.35,5.7,742.12,1.4,0.002,3724.12,-3600.35,952.11,23.79,*,alpha2_Cen
49669,87901,152.094,11.967,1.36,-0.52,42.09,0.79,0.019,249.45,-249.4,4.91,28.09,,alpha_Leo (Regulus)
33579,52089,104.656,-28.972,1.5,-4.1,7.57,0.57,0.075,3.49,2.63,2.29,2.18,,epsilon_CMa (Adhara)
36850,60179,113.65,31.889,1.58,0.59,63.27,1.23,0.019,254.03,-206.33,-148.18,19.03,*,alpha_Gem (Castor)
61084,108903,187.791,-57.113,1.59,-0.56,37.09,0.67,0.018,265.8,27.94,-264.33,33.97,,gamma_Cru
85927,158926,263.402,-37.104,1.62,-5.05,4.64,0.9,0.194,31.24,-8.9,-29.95,31.92,,lambda_Sco (Shaula)
25336,35468,81.283,6.35,1.64,-2.72,13.42,0.98,0.073,15.9,-8.75,-13.28,5.62,,gamma_Ori (Bellatrix)
25428,35497,81.573,28.608,1.65,-1.37,24.89,0.88,0.035,175.77,23.28,-174.22,33.48,,beta_Tau (Alnath)
45238,80007,138.301,-69.717,1.67,-0.99,29.34,0.47,0.016,191.62,-157.66,108.91,30.96,,beta_Car
26311,37128,84.053,-1.202,1.69,-6.38,2.43,0.91,0.374,1.83,1.49,-1.06,3.57,,epsilon_Ori (Alnilam)
109268,209952,332.058,-46.961,1.73,-0.73,32.16,0.82,0.025,195.34,127.6,-147.91,28.79,*,alpha_Gru (Alnair)
26727,37742,85.19,-1.943,1.74,-5.26,3.99,0.79,0.198,4.73,3.99,2.54,5.62,,zeta_Ori (Alnitak)
39953,68273,122.383,-47.337,1.75,-5.31,3.88,0.53,0.137,11.54,-5.93,9.9,14.1,,gamma_Vel
62956,112185,193.507,55.96,1.76,-0.21,40.3,0.62,0.015,112.1,111.74,-8.99,13.19,,epsilon_UMa (Alioth)
90185,169022,276.043,-34.384,1.79,-1.44,22.55,1.02,0.045,130.22,-39.61,-124.05,27.37,,epsilon_Sgr (Kaus Australis)
15863,20902,51.081,49.861,1.79,-4.5,5.51,0.66,0.12,35.47,24.11,-26.01,30.51,,alpha_Per (Mirphak)
54061,95689,165.933,61.751,1.81,-1.08,26.38,0.53,0.02,140.94,-136.46,-35.25,25.33,,alpha_UMa (Dubhe)
34444,54605,107.098,-26.393,1.83,-6.87,1.82,0.56,0.308,4.32,-2.75,3.33,11.25,,delta_CMa
67301,120315,206.886,49.313,1.85,-0.6,32.39,0.74,0.023,122.22,-121.23,-15.56,17.89,,eta_UMa (Alkaid)
86228,159532,264.33,-42.998,1.86,-2.75,11.99,0.84,0.07,6.13,6.06,-0.95,2.43,,theta_Sco
41037,71129,125.629,-59.51,1.86,-4.58,5.16,0.49,0.095,34.03,-25.34,22.72,31.27,,epsilon_Car
28360,40183,89.882,44.947,1.9,-0.1,39.72,0.78,0.02,56.42,-56.41,-0.88,6.73,*,beta_Aur
82273,150798,252.166,-69.028,1.91,-3.62,7.85,0.63,0.08,37.45,17.85,-32.92,22.61,,alpha_TrA
42913,74956,131.176,-54.709,1.93,-0.01,40.9,0.38,0.009,108.04,28.78,-104.14,12.52,*,delta_Vel
31681,47105,99.428,16.399,1.93,-0.6,31.12,2.33,0.075,66.95,-2.04,-66.92,10.2,,gamma_Gem (Alhena)
100751,193924,306.412,-56.735,1.94,-1.81,17.8,0.7,0.039,86.49,7.71,-86.15,23.04,,alpha_Pav
11767,8890,37.946,89.264,1.97,-3.64,7.56,0.48,0.063,45.75,44.22,-11.74,28.69,,alpha_UMi (Polaris)
30324,44743,95.675,-17.956,1.98,-3.95,6.53,0.66,0.101,3.48,-3.45,-0.47,2.53,,beta_CMa
46390,81797,141.897,-8.659,1.99,-1.69,18.4,0.78,0.042,36.27,-14.49,33.25,9.34,,alpha_Hya (Alphard)
50583,89484,154.992,19.842,2.01,-0.92,25.96,0.83,0.032,346.34,310.77,-152.88,63.24,,gamma1_Leo (Algieba)
9884,12929,31.793,23.463,2.01,0.48,49.48,0.99,0.02,240.06,190.73,-145.77,23,*,alpha_Ari (Hamal)
3419,4128,10.897,-17.987,2.04,-0.3,34.04,0.82,0.024,235.08,232.79,32.71,32.74,*,beta_Cet (Diphda)
92855,175191,283.816,-26.297,2.05,-2.14,14.54,0.88,0.061,54.45,13.87,-52.65,17.75,,sigma_Sgr (Nunki)
68933,123139,211.672,-36.369,2.06,0.7,53.52,0.79,0.015,733.38,-519.29,-517.87,64.96,*,theta_Cen
27366,38771,86.939,-9.67,2.07,-4.65,4.52,0.77,0.17,1.96,1.55,-1.2,2.06,,kappa_Ori (Saiph)
677,358,2.097,29.091,2.07,-0.3,33.6,0.73,0.022,212.04,135.68,-162.95,29.92,,delta_Peg (Alpheratz)
112122,214952,340.666,-46.885,2.07,-1.52,19.17,0.75,0.039,135.75,135.68,-4.51,33.57,,beta_Gru
5447,6860,17.432,35.621,2.07,-1.86,16.36,0.76,0.046,208.39,175.59,-112.23,60.38,*,beta_And (Mirach)
72607,131873,222.677,74.155,2.07,-0.87,25.79,0.52,0.02,34.42,-32.29,11.91,6.33,,beta_UMi (Kocab)
86032,159561,263.733,12.561,2.08,1.3,69.84,0.88,0.013,248.34,110.08,-222.61,16.86,*,alpha_Oph (Rasalhague)
14576,19356,47.042,40.956,2.09,-0.18,35.14,0.9,0.026,2.79,2.39,-1.44,0.38,,beta_Per (Algol)
9640,12533,30.975,42.33,2.1,-3.08,9.19,0.73,0.079,66.65,43.08,-50.85,34.38,,gamma1_And
57632,102647,177.266,14.572,2.14,1.92,90.16,0.89,0.01,511.83,-499.02,-113.78,26.91,,beta_Leo (Denebola)
4427,5394,14.177,60.717,2.15,-4.22,5.32,0.56,0.105,25.93,25.65,-3.82,23.11,,gamma_Cas
61932,110304,190.38,-48.96,2.2,-0.81,25.01,1.01,0.04,187.28,-187.28,-1.2,35.5,,gamma_Cen
39429,66811,120.896,-40.003,2.21,-5.95,2.33,0.51,0.219,35.09,-30.82,16.77,71.39,,zeta_Pup
45556,80404,139.273,-59.275,2.21,-4.42,4.71,0.46,0.098,23.11,-19.03,13.11,23.26,,iota_Car
76267,139006,233.672,26.715,2.22,0.42,43.65,0.79,0.018,149.97,120.38,-89.44,16.29,,alpha_CrB (Alphekka)
44816,78647,136.999,-43.433,2.23,-3.99,5.69,0.53,0.093,27.25,-23.21,14.28,22.7,,lambda_Vel
100453,194093,305.557,40.257,2.23,-6.12,2.14,0.51,0.238,2.6,2.43,-0.93,5.76,,gamma_Cyg
65378,116656,200.981,54.925,2.23,0.33,41.73,0.61,0.015,123.21,121.23,-22.01,14,*,zeta_UMa (Mizar)
3179,3712,10.127,56.537,2.24,-1.99,14.27,0.57,0.04,59.76,50.36,-32.17,19.85,,alpha_Cas (Shedir)
87833,164058,269.152,51.489,2.24,-1.04,22.1,0.46,0.021,24.57,-8.52,-23.05,5.27,,gamma_Dra (Etamin)
25930,36486,83.002,-0.299,2.25,-4.99,3.56,0.83,0.233,1.76,1.67,0.56,2.35,,delta_Ori (Mintaka)
746,432,2.292,59.15,2.28,1.17,59.89,0.56,0.009,553.61,523.39,-180.42,43.82,*,beta_Cas (Caph)
78401,143275,240.083,-22.622,2.29,-3.16,8.12,0.88,0.108,37.9,-8.67,-36.9,22.13,,delta_Sco
82396,151680,252.543,-34.293,2.29,0.78,49.85,0.81,0.016,663.18,-611.83,-255.87,63.06,,epsilon_Sco
66657,118716,204.972,-53.466,2.29,-3.02,8.68,0.77,0.089,19.41,-14.6,-12.79,10.6,,epsilon_Cen
71860,129056,220.482,-47.388,2.3,-3.83,5.95,0.76,0.128,32.15,-21.15,-24.22,25.62,,alpha_Lup
71352,127972,218.877,-42.158,2.33,-2.55,10.57,0.83,0.079,47.95,-35.31,-32.44,21.5,,eta_Cen
53910,95418,165.46,56.382,2.34,0.41,41.07,0.6,0.015,88.36,81.66,33.74,10.2,*,beta_UMa (Merak)
72105,129988,221.247,27.074,2.35,-1.69,15.55,0.78,0.05,54.46,-50.65,20,16.6,,epsilon_Boo (Izar)
107315,206778,326.046,9.875,2.38,-4.19,4.85,0.84,0.173,30.05,30.02,1.38,29.37,,epsilon_Peg (Enif)
86670,160578,265.622,-39.03,2.39,-3.38,7.03,0.73,0.104,26.36,-6.49,-25.55,17.78,,kappa_Sco
2081,2261,6.57,-42.305,2.4,0.52,42.14,0.78,0.019,423.37,232.76,-353.64,47.63,,alpha_Phe (Ankaa)
58001,103287,178.457,53.695,2.41,0.36,38.99,0.68,0.017,108.34,107.76,11.16,13.17,,gamma_UMa (Phad)
84012,155125,257.594,-15.725,2.43,0.37,38.77,0.86,0.022,105.97,41.16,97.65,12.96,*,eta_Oph
113881,217906,345.943,28.082,2.44,-1.49,16.37,0.72,0.044,232.79,187.76,137.61,67.41,,beta_Peg (Scheat)
105199,203280,319.644,62.585,2.45,1.58,66.84,0.49,0.007,157.49,149.91,48.27,11.17,*,alpha_Cep (Alderamin)
35904,58350,111.024,-29.303,2.45,-7.51,1.02,0.57,0.559,7.65,-3.76,6.66,35.54,,eta_CMa
45941,81188,140.528,-55.011,2.47,-3.62,6.05,0.48,0.079,15.53,-10.72,11.24,12.17,,kappa_Vel
102488,197989,311.552,33.969,2.48,0.76,45.26,0.53,0.012,485.73,356.16,330.28,50.87,*,epsilon_Cyg
113963,218045,346.19,15.205,2.49,-0.67,23.36,0.76,0.033,74.46,61.1,-42.56,15.11,,alpha_Peg (Markab)
81377,149757,249.29,-10.567,2.54,-3.2,7.12,0.71,0.1,28.6,13.07,25.44,19.04,,zeta_Oph
14135,18884,45.57,4.09,2.54,-1.61,14.82,0.83,0.056,79.64,-11.81,-78.76,25.47,,alpha_Cet (Menkar)
68002,121263,208.885,-47.288,2.55,-2.81,8.48,0.74,0.087,72.58,-57.14,-44.75,40.57,,zeta_Cen
78820,144217,241.359,-19.805,2.56,-3.5,6.15,1.12,0.182,25.79,-6.75,-24.89,19.88,,beta1_Sco
54872,97603,168.527,20.524,2.56,1.32,56.52,0.83,0.015,193.78,143.31,-130.43,16.25,*,delta_Leo
59196,105435,182.09,-50.722,2.58,-2.84,8.25,0.79,0.096,47.96,-47.53,-6.42,27.56,,delta_Cen
25985,36673,83.183,-17.822,2.58,-5.4,2.54,0.72,0.283,3.61,3.27,1.54,6.75,,alpha_Lep (Arneb)
59803,106625,183.952,-17.542,2.58,-0.94,19.78,0.81,0.041,161.13,-159.58,22.31,38.62,,gamma_Crv
93506,176687,285.653,-29.88,2.6,0.42,36.61,1.37,0.037,14.57,-14.1,3.66,1.89,,zeta_Sgr
74785,135742,229.252,-9.383,2.61,-0.84,20.38,0.87,0.043,98.6,-96.39,-20.76,22.93,,beta_Lib
77070,140573,236.067,6.426,2.63,0.87,44.54,0.71,0.016,141.71,134.66,44.14,15.08,*,alpha_Ser (Unukalhai)
8903,11636,28.66,20.808,2.64,1.33,54.74,0.75,0.014,145.31,96.32,-108.8,12.58,*,beta_Ari
28380,40312,89.93,37.213,2.65,-0.98,18.83,0.81,0.043,84.79,42.09,-73.61,21.35,,theta_Aur
61359,109379,188.597,-23.397,2.65,-0.51,23.34,0.8,0.034,56.01,0.86,-56,11.38,,beta_Crv
